smiles,actual_exp,pred_exp,residual
C#CCC(O)(CC#C)c1cccnc1,1.29,2.3580093,1.0680093383789062
C#CCC(O)(c1ccc(C(C)C)cc1)c1cccnc1,2.16,0.44380862,-1.716191384792328
C#CCC(O)(c1ccc(F)cc1)c1cccnc1,1.78,-0.16368018,-1.9436801809072495
C#CCC(O)(c1cccnc1)C1CCCCC1,2.09,3.279064,1.189063940048218
C#CCC(O)(c1cccnc1)c1ccc(Cl)c(Cl)c1,2.42,1.7259563,-0.6940436792373657
C#CCC(O)(c1cccnc1)c1ccc(Cl)cc1Cl,2.29,7.80258,5.512579879760742
C#CCC(O)(c1cccnc1)c1ccc2ccccc2c1,2.14,2.5646174,0.42461739540100085
C#CCC(O)c1cccnc1,1.21,8.205601,6.995600738525391
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.49,3.734855,-0.7551450634002688
C#CCCC,1.98,7.2574067,5.277406711578369
C#CCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.88,1.2339414,0.3539414358139038
C#CCCC(C)=O,0.58,1.4928392,0.9128392171859742
C#CCCCC,2.73,1.2231227,-1.5068772840499878
C#CCCCCC,3.32,1.5118408,-1.8081591796874998
C#CCCCCCC,3.92,3.581628,-0.33837191581726067
C#CCCCCCCC,4.51,1.8717325,-2.6382675266265867
C#CCCCCl,1.85,1.3364352,-0.5135648012161256
C#CCCO/C(O)=N/c1ccc(OCC)c(OCC)c1,2.54,1.7384837,-0.8015163326263428
C#CCCOCn1ccnc1C=NO,0.67,2.8926256,2.2226255702972413
C#CCN(C)C(C)Cc1ccc(F)cc1,3.0,3.23946,0.23945999145507812
C#CCN(C)C(C)Cc1ccccc1,2.53,1.2026433,-1.3273567247390745
C#CCN(C)N=NC1N=CN=C1C(N)=O,0.33,1.2580824,0.9280823898315429
C#CCN(CC#C)CC#C,1.27,1.0249587,-0.2450412702560425
C#CCN(N=O)/C(O)=N/CCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,1.12,0.2517611,-0.868238891363144
C#CCN(N=O)/C(O)=N/CCCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,1.64,2.9350295,1.2950295066833497
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8,0.7951608,-2.00483922958374
C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,3.2,2.2968078,-0.9031922340393068
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,2.55,1.7628707,-0.7871293306350706
C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,2.9,0.424568,-2.475432002544403
C#CCO,-0.38,1.0500652,1.4300651597976684
C#CCO/C(O)=N/c1ccc(OCC)c(OCC)c1,2.68,3.7288134,1.0488134098052977
C#CCO/N=C/Nc1cc(Cl)c(OCC#C)c(Cl)c1,3.3,1.6224804,-1.6775196075439451
C#CCO/N=C/Nc1cc(F)c(OCC#C)c(OCC#C)c1,1.8,3.4866688,1.686668825149536
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,3.9,-0.5011342,-4.401134216785431
C#CCOC1(c2ccccc2)CN(C)CCO1,1.87,1.7183965,-0.15160345554351817
C#CCOC1=Nc2cc(OC(=O)N3CCCC3)c(Cl)cc2OC1,2.93,1.3288261,-1.601173930168152
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,5.0,0.22604193,-4.773958072066307
C#CCOc1c(Cl)cc(/N=C/NO)cc1Cl,2.8,4.4425607,1.64256067276001
C#CCOc1c(Cl)cc(/N=C/NOC(C)C)cc1Cl,3.9,-0.08663835,-3.98663834631443
C#CCOc1c(Cl)cc(/N=C/NOC(C)CC)cc1Cl,4.2,0.8855039,-3.314496111869812
C#CCOc1c(Cl)cc(/N=C/NOC)cc1Cl,3.3,1.3886536,-1.911346364021301
C#CCOc1c(Cl)cc(/N=C/NOCC#N)cc1Cl,3.0,2.2136772,-0.786322832107544
C#CCOc1c(Cl)cc(/N=C/NOCC(=O)OCC)cc1Cl,3.6,2.6137245,-0.9862755298614503
C#CCOc1c(Cl)cc(/N=C/NOCC)cc1Cl,3.6,2.2290184,-1.370981550216675
C#CCOc1c(Cl)cc(/N=C/NOCC=C)cc1Cl,3.7,3.3931398,-0.3068601608276369
C#CCOc1c(Cl)cc(/N=C/NOCCCC)cc1Cl,4.4,2.2965624,-2.1034375667572025
C#CCOc1c(Cl)cc(/N=C/NOCCCl)cc1Cl,3.7,2.8723543,-0.8276457309722902
C#CCOc1c(Cl)cc(/N=C/NOCCOCC)cc1Cl,3.7,1.6595329,-2.040467095375061
C#CCOc1c(Cl)cc(/N=C/NOCOC)cc1Cl,3.2,2.7745078,-0.42549223899841326
C#CCOc1c(Cl)cc(/N=C/NOCOCC)cc1Cl,3.5,2.6754448,-0.8245551586151123
C#CCOc1c(Cl)cc(/N=C/NOCSC)cc1Cl,3.6,2.6990097,-0.9009903430938722
C#CCOc1c(Cl)cc(/N=C/NOCc2ccccc2)cc1Cl,4.2,4.355388,0.1553881645202635
C#CCOc1c(Cl)cc(/N=C/NOc2ccc(C)cc2)cc1Cl,4.8,3.204691,-1.5953090667724608
C#CCOc1c(Cl)cc(/N=C/NOc2ccccc2)cc1Cl,4.4,0.81686705,-3.583132946491242
C#CCOc1c(Cl)cc(N/C=N/OCCC)cc1Cl,4.0,-0.20630853,-4.206308528780937
C#CCOc1c(Cl)cc(N=CNOCC=CCl)cc1Cl,3.9,1.2284206,-2.671579384803772
C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,3.95,1.6187352,-2.3312648057937624
C#CCOc1cc(/N=C/NOC)cc(Cl)c1OCC#C,2.3,2.813757,0.5137569427490236
C#CCOc1cc(/N=C/NOC)cc(F)c1OCC#C,1.8,2.0466785,0.24667854309082027
C#CCOc1cc(/N=C/NOCC)cc(Cl)c1OCC#C,2.53333,3.504997,0.9716670149993898
C#CCOc1cc(/N=C/NOCOC)cc(Cl)c1OCC#C,2.2,6.5586514,4.358651447296142
C#CCOc1cc(/N=C/NOCOC)cc(F)c1OCC#C,1.7,2.1765764,0.47657637596130376
C#CCOc1cc(N/C=N/OCC)cc(F)c1OCC#C,2.1,2.4116647,0.3116647243499755
C#CCOc1cc(OC(=O)N(CC)CC)c(Cl)cc1Cl,3.95,2.5430834,-1.4069165706634523
C#CCOc1cc(OC(=O)N2CCC(F)(F)C2)c(Cl)cc1Cl,3.42,0.91908264,-2.5009173583984374
C#CCOc1cc(OC(=O)N2CCC(F)(F)CC2)c(Cl)cc1Cl,3.57,-1.6188201,-5.188820071220398
C#CCOc1cc(OC(=O)N2CCCC2)c(Cl)cc1Cl,3.82,4.1373672,0.3173672485351564
C#CCOc1cc(OC(=O)N2CCCCC2)c(Cl)cc1Cl,4.25,1.7822605,-2.467739462852478
C#CCOc1ccc(/N=C/NOC)cc1OCC#C,1.6,2.689481,1.0894810199737548
C#CCOc1ccc(N/C=N/OCC)cc1OCC#C,1.9,0.9788963,-0.9211036801338195
C#CCOc1ccccc1OCC(O)CNC(C)(C)C,2.32,1.2191973,-1.1008027267456053
C#CCOc1noc2c1CNCC2,0.4,-0.37700522,-0.7770052194595337
C#CCOn1c(O)nc(C)c(Br)c1=O,-0.1,4.139222,4.239222145080566
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75,2.9787712,1.2287712097167969
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96,0.49896878,-3.461031219959259
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,2.3197575,-0.8402425384521486
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4,0.65028596,-2.7497140407562255
C#CCn1cncc1[N+](=O)[O-],0.52,0.55715716,0.03715715885162352
C#CCn1nnc(Oc2ccc(NC(=O)N(C)C)cc2)n1,1.65,1.5839404,-0.06605961322784415
C#CCn1nnnc1Oc1ccc(NC(=O)N(C)C)cc1,1.0,3.1046288,2.104628801345825
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,0.92,0.5847582,-0.33524177789688114
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35,3.0903218,-0.25967822074890146
C#Cc1ccccc1,2.53,2.3652678,-0.16473224639892559
C#N,-0.25,1.5860556,1.8360556364059448
C(#Cc1ccccc1)c1ccccc1,4.78,2.703242,-2.0767579364776614
C(#Cc1n[nH]c2ccccc12)c1ccccc1,4.31,2.5255718,-1.7844281768798824
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4,0.2879935,-3.1120065093040465
C(=C/c1nn[nH]n1)\c1ccccc1,-0.4,4.3941407,4.794140720367432
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.77,1.5341812,-4.235818762779235
C(=Cc1ccccc1)c1ccccc1,4.81,2.1359603,-2.6740396595001217
C(=Cc1ccccn1)c1ccccn1,2.11,3.195189,1.0851889991760255
C(=NN1CCCCC1)c1ccccc1,3.04,-0.24531765,-3.285317652821541
C(=Nc1ccccc1)c1ccccc1,2.82,0.8974414,-1.9225586128234862
C/C(O)=N/C(/C(O)=N/C(C(=N)O)C(C)C)C(C)C,-0.32,0.080531284,0.4005312842130661
C/C(O)=N/C(/C(O)=N/C(C(=N)O)C(C)C)C(C)O,-1.25,-0.110594556,1.139405444264412
C/C(O)=N/C(/C(O)=N/C(C)/C(O)=N/C(C(=N)O)C(C)C)C(C)C,-0.67,1.2725092,1.942509217262268
C/C(O)=N/C(/C(O)=N/C(C)/C(O)=N/C(C)C(=N)O)C(C)C,-1.4,3.2911913,4.691191339492798
C/C(O)=N/C(/C(O)=N/C(C)C(=N)O)C(C)C,-1.14,2.1627417,3.302741661071777
C/C(O)=N/C(/C(O)=N/C(CCC(=N)O)C(=N)O)C(C)C,-1.82,3.1697695,4.989769525527954
C/C(O)=N/C(/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(C)C(=N)O)C(C)C,0.06,2.4333348,2.3733348274230956
C/C(O)=N/C(=O)C1CCC1,-0.4,2.7046885,3.104688549041748
C/C(O)=N/C(C)(C)C(=N)O,-0.87,0.08005725,0.9500572484731674
C/C(O)=N/C(C)/C(O)=N/C(C(=N)O)C(C)C,-1.13,4.779083,5.909082775115967
C/C(O)=N/C(C)/C(O)=N/C(C)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,-0.51,3.232102,3.7421019172668455
C/C(O)=N/C(C)/C(O)=N/C(CC(=O)O)/C(O)=N/C(C)(C)C,-0.74,1.910603,2.6506030464172365
C/C(O)=N/C(C)/C(O)=N/C(CC(=O)O)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,-0.74,5.25966,5.999659767150879
C/C(O)=N/C(C)/C(O)=N/C(CC(C)C)/C(O)=N/C(C(=N)O)C(C)C,-0.14,6.903468,7.043468132019043
C/C(O)=N/C(C)/C(O)=N/C(CC(C)C)C(=N)O,-0.54,-0.7749944,-0.23499437332153317
C/C(O)=N/C(C)/C(O)=N/C(CCC(=O)O)/C(O)=N/C(C)(C)C,-0.67,0.9802366,1.6502365899085998
C/C(O)=N/C(C)/C(O)=N/C(CCC(=O)O)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,-0.67,1.2226552,1.892655177116394
C/C(O)=N/C(C)/C(O)=N/C(Cc1c[nH]c2ccccc12)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,1.26,0.51266533,-0.747334668636322
C/C(O)=N/C(C)/C(O)=N/C(Cc1ccc(O)cc1)/C(O)=N/C(CC(C)C)C(=N)O,-0.04,3.4754646,3.5154645824432373
C/C(O)=N/C(C)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,1.01,1.9210613,0.9110612773895264
C/C(O)=N/C(C)/C(O)=N/C/C(O)=N/C(C)/C(O)=N/C(C)(C)C,-0.6,2.0512176,2.651217555999756
C/C(O)=N/C(C)/C(O)=N/C/C(O)=N/C(Cc1ccccc1)C(=N)O,-0.71,2.7614362,3.4714362239837646
C/C(O)=N/C(C)C(=O)N1CCCC1/C(O)=N/C(C)/C(O)=N/C(C)(C)C,-0.39,2.731457,3.121456995010376
C/C(O)=N/C(CC(=N)O)/C(O)=N/C(C(=N)O)C(C)C,-1.85,3.8338928,5.683892822265625
C/C(O)=N/C(CC(=O)O)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CC(C)C)C(=N)O,0.4,2.067071,1.6670709609985352
C/C(O)=N/C(CC(C)C)/C(O)=N/C(C(=N)O)C(C)C,0.26,2.0633786,1.8033785724639892
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CC(=N)O)C(=N)O,-1.3,2.3471634,3.647163438796997
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CCC(=O)O)/C(O)=N/C(Cc1ccccc1)C(=N)O,0.47,2.6939983,2.2239983367919924
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CCCCN)/C(O)=N/C(Cc1ccccc1)C(=N)O,1.14,1.3947676,0.2547676420211793
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CCCN)/C(O)=N/C(Cc1ccccc1)C(=N)O,0.53,3.2583506,2.728350610733032
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CO)/C(O)=N/C(Cc1ccccc1)C(=N)O,0.23,0.9613237,0.7313236784934998
C/C(O)=N/C(CCC(=N)O)/C(O)=N/C(Cc1ccccc1)C(=N)O,-1.14,0.10457346,1.2445734584331511
C/C(O)=N/C(CCC(=O)O)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CC(C)C)C(=N)O,0.32,2.1721938,1.8521937656402587
C/C(O)=N/C(CCC/N=C(\O)N(C)N=O)/C(O)=N/Cc1ccccc1,0.98,2.693485,1.7134850215911865
C/C(O)=N/C(CCC/N=C(\O)N(CCCl)N=O)/C(O)=N/Cc1ccccc1,1.33,0.44128084,-0.8887191581726075
C/C(O)=N/C(CCC/N=C(\O)NCCCl)/C(O)=N/Cc1ccccc1,0.34,3.314927,2.974927101135254
C/C(O)=N/C(CCCC/N=C(\O)N(CCCl)N=O)/C(O)=N/Cc1ccccc1,1.54,0.37287444,-1.1671255612373352
C/C(O)=N/C(CCCCN(Cc1ccccc1)C(=O)N(C)N=O)/C(O)=N/Cc1ccccc1,2.12,3.3204968,1.2004967975616454
C/C(O)=N/C(CCCCN)/C(O)=N/C(CC(C)C)C(=N)O,-0.26,2.7971494,3.0571494197845457
C/C(O)=N/C(CCCCN)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(C(=N)O)C(C)C,0.51,3.8141363,3.3041362667083742
C/C(O)=N/C(CCCCN)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CC(C)C)C(=N)O,0.98,3.481111,2.5011110496520996
C/C(O)=N/C(CCCCN)/C(O)=N/C(Cc1ccccc1)C(=N)O,0.12,1.0757734,0.9557733583450317
C/C(O)=N/C(CCCN(Cc1ccccc1)C(=O)N(C)N=O)/C(O)=N/Cc1ccccc1,2.0,-0.97556937,-2.9755693674087524
C/C(O)=N/C(CCCN)/C(O)=N/C(CC(C)C)C(=N)O,-0.71,3.6361868,4.346186838150024
C/C(O)=N/C(CCCN)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CC(C)C)C(=N)O,0.54,-1.2442583,-1.7842582845687867
C/C(O)=N/C(CCCN)/C(O)=N/C(Cc1ccccc1)C(=N)O,0.41,3.2989929,2.888992872238159
C/C(O)=N/C(CO)/C(O)=N/C(C(=N)O)C(C)C,-1.53,0.60289025,2.132890253067017
C/C(O)=N/C(CO)/C(O)=N/C(Cc1ccccc1)C(=N)O,-0.79,0.9959955,1.7859955215454102
C/C(O)=N/C(Cc1c[nH]c2ccccc12)/C(O)=N/C(C)/C(O)=N/C(C(=N)O)C(C)C,0.36,3.2214925,2.8614925289154054
C/C(O)=N/C(Cc1c[nH]c2ccccc12)/C(O)=N/C(C)/C(O)=N/C(C)C(=N)O,-0.38,1.554368,1.9343680191040038
C/C(O)=N/C(Cc1ccc(O)cc1)/C(O)=N/C(CC(C)C)C(=N)O,0.32,2.1762383,1.8562382984161376
C/C(O)=N/C(Cc1ccc(O)cc1)/C(O)=N/C(Cc1ccccc1)C(=N)O,0.54,-0.4122405,-0.9522405052185059
C/C(O)=N/C(Cc1ccc(O)cc1)C(=N)O,-0.87,0.47597784,1.3459778380393983
C/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CC(=O)O)/C(O)=N/C(CC(C)C)C(=N)O,0.39,1.9525698,1.5625698423385619
C/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CCC(=N)O)C(=N)O,-1.03,1.2381567,2.2681566762924197
C/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CCCCN)C(=N)O,0.14,0.6560092,0.5160091972351074
C/C(O)=N/C(Cc1ccccc1)/C(O)=N/C/C(O)=N/C(CC(C)C)C(=N)O,0.6,1.4457201,0.8457200765609741
C/C(O)=N/C(Cc1ccccc1)/C(O)=N/CC(=N)O,-0.5,2.1347427,2.6347427368164062
C/C(O)=N/C/C(O)=N/C(C(=N)O)C(C)C,-1.33,4.2000103,5.530010299682617
C/C(O)=N/C/C(O)=N/C(C)/C(O)=N/C(C(=N)O)C(C)C,-1.56,1.9309992,3.4909991598129273
C/C(O)=N/C/C(O)=N/C(CC(C)C)/C(O)=N/CC(=N)O,-1.23,3.5253026,4.755302648544312
C/C(O)=N/C/C(O)=N/C(CC(C)C)C(=N)O,-0.78,2.0747216,2.8547215747833254
C/C(O)=N/C1=CC(=O)N(c2ccc(Cl)cc2)C1=O,0.75,0.54958385,-0.20041614770889282
