Class distribution: Counter({0: 2108, 1: 2092})
Epoch 290: Train Acc = 0.8095, Val Loss = 0.5330
✅ Fold 2 - Accuracy: 0.7821, Precision: 0.8133, Recall: 0.7297, F1: 0.7692
Fold time: 299.11s

🌀 Fold 3 -----------------------------
Epoch 000: Train Acc = 0.4896, Val Loss = 0.6930
Epoch 010: Train Acc = 0.5607, Val Loss = 0.6806
Epoch 020: Train Acc = 0.5884, Val Loss = 0.6707
Epoch 030: Train Acc = 0.6107, Val Loss = 0.6465
Epoch 040: Train Acc = 0.6390, Val Loss = 0.6331
Epoch 050: Train Acc = 0.6476, Val Loss = 0.6242
Epoch 060: Train Acc = 0.6554, Val Loss = 0.6184
Epoch 070: Train Acc = 0.6568, Val Loss = 0.6109
Epoch 080: Train Acc = 0.6875, Val Loss = 0.5887
Epoch 090: Train Acc = 0.7033, Val Loss = 0.5796
Epoch 100: Train Acc = 0.7128, Val Loss = 0.5993
Epoch 110: Train Acc = 0.7190, Val Loss = 0.5628
Epoch 120: Train Acc = 0.7363, Val Loss = 0.5512
Epoch 130: Train Acc = 0.7259, Val Loss = 0.5544
Epoch 140: Train Acc = 0.7482, Val Loss = 0.5695
Epoch 150: Train Acc = 0.7405, Val Loss = 0.5285
Epoch 160: Train Acc = 0.7536, Val Loss = 0.5654
Epoch 170: Train Acc = 0.7664, Val Loss = 0.5107
Epoch 180: Train Acc = 0.7613, Val Loss = 0.5360
Epoch 190: Train Acc = 0.7717, Val Loss = 0.5149
Epoch 200: Train Acc = 0.7729, Val Loss = 0.4976
Epoch 210: Train Acc = 0.7714, Val Loss = 0.5130
Epoch 220: Train Acc = 0.7774, Val Loss = 0.4945
Epoch 230: Train Acc = 0.7923, Val Loss = 0.4953
Epoch 240: Train Acc = 0.7830, Val Loss = 0.4918
Epoch 250: Train Acc = 0.7905, Val Loss = 0.4962
Epoch 260: Train Acc = 0.7988, Val Loss = 0.5080
Epoch 270: Train Acc = 0.8021, Val Loss = 0.5214
Epoch 280: Train Acc = 0.7929, Val Loss = 0.4800
Epoch 290: Train Acc = 0.7955, Val Loss = 0.5062
✅ Fold 3 - Accuracy: 0.8012, Precision: 0.7859, Recall: 0.8254, F1: 0.8051
Fold time: 295.07s

🌀 Fold 4 -----------------------------
Epoch 000: Train Acc = 0.5003, Val Loss = 0.6922
Epoch 010: Train Acc = 0.5705, Val Loss = 0.6845
Epoch 020: Train Acc = 0.6110, Val Loss = 0.6805
Epoch 030: Train Acc = 0.6318, Val Loss = 0.6512
Epoch 040: Train Acc = 0.6440, Val Loss = 0.6622
Epoch 050: Train Acc = 0.6494, Val Loss = 0.6251
Epoch 060: Train Acc = 0.6595, Val Loss = 0.6246
Epoch 070: Train Acc = 0.6801, Val Loss = 0.6146
Epoch 080: Train Acc = 0.6932, Val Loss = 0.5953
Epoch 090: Train Acc = 0.7021, Val Loss = 0.5768
Epoch 100: Train Acc = 0.7015, Val Loss = 0.5679
Epoch 110: Train Acc = 0.7086, Val Loss = 0.5647
Epoch 120: Train Acc = 0.7092, Val Loss = 0.5594
Epoch 130: Train Acc = 0.7188, Val Loss = 0.5568
Epoch 140: Train Acc = 0.7268, Val Loss = 0.5516
Epoch 150: Train Acc = 0.7348, Val Loss = 0.5356
Epoch 160: Train Acc = 0.7375, Val Loss = 0.5250
Epoch 170: Train Acc = 0.7506, Val Loss = 0.5220
Epoch 180: Train Acc = 0.7551, Val Loss = 0.5070
Epoch 190: Train Acc = 0.7607, Val Loss = 0.4974
Epoch 200: Train Acc = 0.7565, Val Loss = 0.5165
Epoch 210: Train Acc = 0.7580, Val Loss = 0.4815
Epoch 220: Train Acc = 0.7667, Val Loss = 0.4788
Epoch 230: Train Acc = 0.7738, Val Loss = 0.4771
Epoch 240: Train Acc = 0.7732, Val Loss = 0.4821
Epoch 250: Train Acc = 0.7860, Val Loss = 0.4737
Epoch 260: Train Acc = 0.7920, Val Loss = 0.4541
Epoch 270: Train Acc = 0.7946, Val Loss = 0.4587
Epoch 280: Train Acc = 0.7935, Val Loss = 0.4434
Epoch 290: Train Acc = 0.8003, Val Loss = 0.4474
✅ Fold 4 - Accuracy: 0.7976, Precision: 0.7616, Recall: 0.8636, F1: 0.8094
Fold time: 191.98s

🎯 Final Cross-Validation Results:
Avg Accuracy : 0.7905 ± 0.0168
Avg Precision: 0.7859 ± 0.0241
Avg Recall   : 0.7988 ± 0.0458
Avg F1 Score : 0.7911 ± 0.0203
Total time: 1296.05s
